Complaint ID,Product,Sub-product,Issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,Company_grouped_filtered,Difference in days,Delay_Class
1195330,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",IL,60089,2015-01-15,2015-01-15,Ocwen,Closed with explanation,Yes,No,Ocwen,0,0
1195309,Consumer loan,Vehicle lease,Shopping for a loan or lease,FL,33308,2015-01-15,2015-01-15,U.S. Bancorp,Closed with explanation,Yes,No,U.S. Bancorp,0,0
1195304,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",TX,75056,2015-01-15,2015-01-15,Flagstar Bank,Closed with explanation,Yes,No,Flagstar Bank,0,0
1195318,Bank account or service,Other bank product/service,Using a debit or ATM card,OH,44709,2015-01-15,2015-01-20,The Huntington National Bank,Closed with explanation,Yes,No,The Huntington National Bank,5,1
1195310,Bank account or service,Savings account,"Making/receiving payments, sending money",CA,95030,2015-01-15,2015-01-20,Comerica,Closed with explanation,Yes,No,Low Count Companies,5,1
1195316,Student loan,Non-federal student loan,Dealing with my lender or servicer,IL,60188,2015-01-15,2015-01-15,Citibank,Closed with explanation,Yes,No,Citibank,0,0
1195314,Credit reporting,Unknown,Incorrect information on credit report,FL,33840,2015-01-15,2015-01-21,DriveTime,Closed with explanation,Yes,Yes,Low Count Companies,6,1
1195312,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",CA,94536,2015-01-15,2015-01-22,Wells Fargo,Closed with explanation,Yes,No,Wells Fargo,7,1
1195381,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,UT,84315,2015-01-15,2015-01-15,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,No,"FNIS (Fidelity National Information Services, Inc.)",0,0
1195375,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,GA,31028,2015-01-15,2015-01-26,"Williams & Fudge, Inc",Closed with explanation,Yes,No,Low Count Companies,11,2
1195369,Debt collection,Medical,Cont'd attempts collect debt not owed,VA,23666,2015-01-15,2015-01-15,"Lazarus Financial Group, Inc.",Closed with explanation,No,No,Low Count Companies,0,0
1195344,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",KS,66213,2015-01-15,2015-01-15,U.S. Bancorp,Closed with explanation,Yes,No,U.S. Bancorp,0,0
1193876,Consumer loan,Vehicle loan,Managing the loan or lease,TX,78731,2015-01-15,2015-01-21,Exeter Finance Corp,Closed with explanation,Yes,No,Low Count Companies,6,1
1195345,Debt collection,Medical,Cont'd attempts collect debt not owed,LA,71030,2015-01-15,2015-01-21,Retail Merchants Associates,Untimely response,No,Pending,Low Count Companies,6,1
1195368,Debt collection,Medical,Cont'd attempts collect debt not owed,VA,23666,2015-01-15,2015-01-15,"Io, Inc.",Closed with explanation,Yes,No,Low Count Companies,0,0
1195364,Student loan,Non-federal student loan,Dealing with my lender or servicer,PA,17517,2015-01-15,2015-01-26,Navient,Closed with explanation,Yes,No,Navient,11,2
1195361,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",CT,Unknown,2015-01-15,2015-01-15,"Green Tree Servicing, LLC",Closed with explanation,Yes,No,"Green Tree Servicing, LLC",0,0
1195359,Consumer loan,Installment loan,Taking out the loan or lease,FL,33062,2015-01-15,2015-01-20,GE Capital Retail,Closed with monetary relief,Yes,No,GE Capital Retail,5,1
1193875,Credit reporting,Unknown,Credit reporting company's investigation,TX,78731,2015-01-15,2015-01-15,TransUnion,Closed with non-monetary relief,Yes,No,TransUnion,0,0
1195371,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",MN,55104,2015-01-15,2015-01-15,Ocwen,Closed with explanation,No,No,Ocwen,0,0
